"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021年3月5日","107.88","106.44","109.68","105.98","-","1.33%"
"2021年3月4日","106.46","103.72","106.63","102.60","-","2.39%"
"2021年3月3日","103.98","102.66","104.26","102.52","-","1.31%"
"2021年3月2日","102.64","101.48","103.10","100.61","-","0.06%"
"2021年3月1日","102.58","101.52","103.22","101.52","-","1.72%"
"2021年2月26日","100.85","103.61","103.61","100.01","-","-3.37%"
"2021年2月25日","104.37","103.27","105.48","103.27","-","1.16%"
"2021年2月24日","103.17","100.53","103.26","100.00","-","2.83%"
"2021年2月23日","100.33","99.33","102.18","98.41","-","1.08%"
"2021年2月22日","99.26","97.30","99.86","96.55","-","2.08%"
"2021年2月19日","97.24","96.38","97.42","95.02","-","0.85%"
"2021年2月18日","96.42","98.55","99.44","96.16","-","-2.21%"
"2021年2月17日","98.60","97.73","100.11","97.50","-","0.86%"
"2021年2月16日","97.76","98.06","99.40","96.84","-","-0.14%"
"2021年2月15日","97.90","93.33","97.95","93.33","-","5.08%"
"2021年2月12日","93.17","91.83","93.26","90.64","-","1.51%"
"2021年2月11日","91.78","92.82","93.07","91.33","-","-1.07%"
"2021年2月10日","92.77","92.98","93.24","91.37","-","0.11%"
"2021年2月9日","92.67","93.30","95.18","92.43","-","-0.58%"
"2021年2月8日","93.21","92.29","93.64","91.75","-","1.60%"
"2021年2月5日","91.74","90.98","92.80","90.44","-","0.58%"
"2021年2月4日","91.21","92.02","93.38","90.70","-","-0.90%"
"2021年2月3日","92.04","91.09","92.04","89.62","-","1.50%"
"2021年2月2日","90.68","91.67","91.95","89.96","-","-0.20%"
"2021年2月1日","90.86","91.90","92.45","90.56","-","-1.03%"
"2021年1月29日","91.81","93.65","94.03","91.81","-","-2.09%"
"2021年1月28日","93.77","94.29","94.98","91.67","-","-1.23%"
"2021年1月27日","94.94","95.07","95.28","92.49","-","-0.17%"
"2021年1月26日","95.10","93.87","96.50","93.50","-","1.15%"
"2021年1月25日","94.02","96.58","97.04","93.34","-","-2.50%"
"2021年1月22日","96.43","96.74","96.78","94.77","-","-1.43%"
"2021年1月21日","97.83","100.43","100.68","97.77","-","-2.35%"
"2021年1月20日","100.18","99.53","100.54","99.06","-","0.91%"
"2021年1月19日","99.28","99.56","100.04","98.79","-","0.15%"
"2021年1月18日","99.13","98.30","99.15","97.50","-","-0.26%"
"2021年1月15日","99.39","101.29","101.59","97.87","-","-2.10%"
"2021年1月14日","101.52","99.80","101.54","99.51","-","1.75%"
"2021年1月13日","99.77","100.82","101.91","99.58","-","-0.39%"
"2021年1月12日","100.16","98.57","100.95","98.57","-","2.13%"
"2021年1月11日","98.07","98.72","98.72","96.68","-","-0.75%"
"2021年1月8日","98.81","98.99","99.75","98.15","-","0.05%"
"2021年1月7日","98.76","98.48","99.41","97.21","-","1.17%"
"2021年1月6日","97.62","94.57","98.06","94.41","-","4.54%"
"2021年1月5日","93.38","89.13","93.38","89.13","-","4.97%"
"2021年1月4日","88.96","89.96","92.48","88.55","-","-1.14%"
"2021年1月1日","89.99","89.99","89.99","89.99","-","0.00%"
"2020年12月31日","89.99","90.30","90.52","89.27","-","-0.44%"